id	decision	reason_cn	tags	session	title	url	publication	abstract_short
2A/2	unrelated_excluded	不是相关科学实验 oral。	gate_QEC;metrology	GPMFC Workshop: Precision Quantum Sensing	Entanglement-enhanced atom interferometry	https://meetings-archive.aps.org/damop/2026/2a/2/	Christophe Cassens, Bernd Meyer-Hoppe, Ernst Rasel, and Carsten Klempt, Entanglement-Enhanced Atomic Gravimeter, Phys. Rev. X 15, 011029 (2025)	Interferometers based on ultracold atoms enable absolute measurements of inertial forces with unprecedented precision. However, their resolution is fundamentally limited by quantum fluctuations, and surpassing this limit requires the use of entangled atomic quantum states. In our experiments, entanglement is generated via spin-changing collisions in Bose–Einstein condensates. I will present a characterization of the resulting quantum states with single-particle counting resolution, revealing Hong–Ou–Mandel correlations, genuine multi-particle entanglement, and Heisenberg-limited interferometric sensitivity. We apply these quantum states to demonstrate the operation of an atomic gravimeter th
2A/3	related_excluded	平台是 optical lattice、BEC、quantum gas 或 gas microscope，不是 Rb87 optical tweezer Rydberg array。	gate_QEC;metrology;optical_lattice_or_gas	GPMFC Workshop: Precision Quantum Sensing	Harnessing AI to Perform Multi-Axis Inertial Sensing in a 3D Optical Lattice	https://meetings-archive.aps.org/damop/2026/2a/3/	[1] C LeDesma, K Mehling, J Shao, JD Wilson, P Axelrad, M Nicotra, D Anderson and M Holland, Demonstration of a programmable optical lattice atom interferometer, Physical Review Research 6, 043120 (2024). [2] C LeDesma, K Mehling, M Holland, Vector atom accelerometry in an optical lattice, Science Advances 11 (23), eadt7480 (2025). [3] C LeDesma, K Mehling, JD Wilson, M Nicotra, M Holland, Universal gate set for optical lattice based atom interferometry, Physical Review Research 7, 013246 (2025). [4] K Mehling, M Holland, C LeDesma, High-precision phase control of an optical lattice with up to 50 dB noise suppression, Physical Review Applied 25, 024008 (2025).	We are developing a precision atom interferometer based on loading a Bose-Einstein condensate into a three-dimensional optical lattice. By translating this lattice in a controlled manner, we can implement all of the standard operations of atom interferometry: splitting, propagating, reflecting, and recombining a macroscopic quantum wave function. These atom-optic operations act as matter-wave gates: unitary transformations that can be optimized using modern artificial-intelligence techniques. In particular, we employ deep reinforcement learning as a central tool in our experimental design. The gate-set we realize is metrologically universal, analogous to universal gate-sets in quantum comput
2A/5	related_excluded	涉及分子、分子显微镜、polar molecule 或 RbCs/KRb/NaCs 混合系统；不是 Rb87 Rydberg atom tweezer array。	gate_QEC;quantum_sim;metrology;molecule;ion_or_solid	GPMFC Workshop: Precision Quantum Sensing	Quantum magnetometry with optically active spins	https://meetings-archive.aps.org/damop/2026/2a/5/		Quantum magnetometry based on optically active spin defects has emerged as a powerful platform for sensing magnetic fields with high sensitivity, spatial resolution, and operability under ambient conditions. Systems ranging from solid-state defects (such as NV centers in diamond) to molecular spin platforms provide optical initialization and readout, long coherence times, and flexible control, enabling applications from the nanoscale to the mesoscopic regime. These capabilities have positioned spin-based quantum sensors as versatile tools across physics, chemistry, materials science, and the life sciences.In this workshop, I will introduce the basic principles of quantum magnetometry with op
2A/6	related_excluded	Rydberg/Rb 相关但平台是 vapor/MOT/molasses/EIT/cold ensemble，不是 optical tweezer array。	Rydberg;cryo;metrology;vapor_or_MOT	GPMFC Workshop: Precision Quantum Sensing	Rydberg atom-based sensors for metrology and beyond	https://meetings-archive.aps.org/damop/2026/2a/6/	"1) Schlossberger, et al, ""Rydberg states of alkali atoms in atomic vapour as SI-traceable field probes and communications receivers"", Nature Review Physics, 6, 606-620, 2024. 2) Artusio-Glimpse, et al, 'Modern RF measurements with hot atoms: A technology review of Rydberg atom-based radio frequency field sensors"", IEEE Microwave Mag, 10.1109/MMM.2022.314870, 44-56 May, 2022. 3) Schlossberger, et al, ""Primary quantum thermometry of mm-wave blackbody radiation via induced state transfer in Rydberg states of cold atoms"", Physical Review Research, 7, L012020, 2025."	The unique properties of Rydberg atoms allow for radio-frequency spectroscopy, which has resulted in intriguing applications. One of the keys to developing new science and technologies is to have sound metrology tools and techniques. Atom-based measurements allow for unprecedented accuracy in measurement systems, and as a result, measurement standards have evolved towards atom-based measurements over the last few decades; most notably length (m), frequency (Hz), and time (s) standards. Recently, there has been a great interest in extending this to magnetic, electric, and other physical quantities. These Atom-based measurements allow for direct International System of Units (SI) traceable mea
2A/7	unrelated_excluded	平台是离子、固态或其他非中性原子光镊平台。	metrology;ion_or_solid	GPMFC Workshop: Precision Quantum Sensing	Quantum Sensing of Nuclear Magnetism	https://meetings-archive.aps.org/damop/2026/2a/7/		Nuclear spins are remarkable quantum sensors in their own right: weakly coupled to their environment, exquisitely well characterized, and exploitable across an enormous range of energy scales. The same properties that make nuclear magnetic resonance (NMR) the workhorse of analytical chemistry and medical imaging also make nuclear spin ensembles powerful probes of fundamental physics, from searches for ultralight dark matter with the Cosmic Axion Spin Precession Experiment (CASPEr) to tests of fundamental symmetries enabled by zero- to ultralow-field (ZULF) NMR. In this talk, I will give a broad overview of how nuclear magnetism connects precision measurement to chemical and biological sensin
2A/9	unrelated_excluded	不是相关科学实验 oral。	gate_QEC;metrology	GPMFC Workshop: Precision Quantum Sensing	Quantum engineering for practical advantages in clocks	https://meetings-archive.aps.org/damop/2026/2a/9/		Precise quantum state engineering and many-body physics build the foundation for quantum system scaling to enhance measurement performance for atomic clocks. The use of many atoms reduces the quantum projection noise, while Hamiltonian engineering guards against systematic effects. Minute-long coherence in the optical domain has been achieved for tens of thousands of atoms. Quantum entanglement is also embedded in clock operation near the state of the art. Such precise control of light-matter interactions is fostering new capabilities for probing fundamental and emerging phenomena.
2A/10	unrelated_excluded	平台是离子、固态或其他非中性原子光镊平台。	metrology;vapor_or_MOT;ion_or_solid	GPMFC Workshop: Precision Quantum Sensing	Scaling trapped-ion clocks to tens of ions while maintaining 10-19-level systematic uncertainties	https://meetings-archive.aps.org/damop/2026/2a/10/		Trapped ions offer an exceptional level of experimental control, which enables systematic clock uncertainties in the 10-19 range and high-fidelity quantum state manipulation. Besides fundamental research, frequency metrology in this regime supports new applications - such as geodetic measurements with sub-cm resolution of the gravitational potential - which will also benefit from the miniaturization capabilities of ion trap technology.At this level of accuracy, frequency measurements are increasingly limited by their statistical uncertainty, even after months of averaging time. Scaling from single ions to ensembles (Coulomb crystals) improves the signal-to-noise ratio and is the prerequisite
2A/11	unrelated_excluded	平台是离子、固态或其他非中性原子光镊平台。	cryo;metrology;ion_or_solid	GPMFC Workshop: Precision Quantum Sensing	Quantum tests of relativity with optical atomic clocks	https://meetings-archive.aps.org/damop/2026/2a/11/		Optical clocks based on atoms and ions probe relativistic effects with unparalleled sensitivity. Clock spectroscopy of single ions in a cryogenic environment provides high-fidelity quantum control over all internal and external degrees of freedom. This enables novel tests of relativity in a regime where superpositions of proper time emerge.
2A/12	unrelated_excluded	不是相关科学实验 oral。	quantum_sim;metrology	GPMFC Workshop: Precision Quantum Sensing	Tailored States for Optical Atomic Clocks	https://meetings-archive.aps.org/damop/2026/2a/12/	T. Kielinski, P.O. Schmidt, K. Hammerer, Science Advances, Vol. 10, No. 43, 2024 T. Kielinski, K. Hammerer, arXiv:2505.04287, Report on Progress in Physics	Optical atomic clocks represent the forefront of precision measurement, where quantum correlations and optimized interrogation strategies enable unprecedented frequency stability. In this talk, I will address laser-noise–limited regimes, where Bayesian frequency metrology provides a unified framework for incorporating frequency fluctuations and identifying optimal quantum states, measurement schemes, and estimation strategies. I will then consider regimes where clock stability is limited by spontaneous emission, and show that correlated measurements and nonlinear estimation strategies can achieve gains close to fundamental bounds. Surprisingly, in this regime it is GHZ-based protocols and – 
1A/2	related_excluded	涉及分子、分子显微镜、polar molecule 或 RbCs/KRb/NaCs 混合系统；不是 Rb87 Rydberg atom tweezer array。	gate_QEC;molecule;optical_lattice_or_gas	Grad Student Symposium - Pushing the Boundaries of Quantum Optics	Joachim Burgdorfer Clocking Einstein’s Photoelectric Effect: Quantum Dynamics on the Attosecond Scale	https://meetings-archive.aps.org/damop/2026/1a/2/		Joachim BurgdorferObserving and clocking non-equilibrium electronic dynamics in real time has become possible with the advances of attosecond pulse generation. This attosecond chronoscopy holds the promise to provide novel information on many-electron systems complementary to conventional spectroscopy. The timing of the photoelectric effect represents one of the first breakthroughs of attosecond chronoscopy. It’s extension to condensed matter opens up new opportunities to explore electronic band structures and topology, electron transport, and decoherence.In this talk, theoretical methods for describing and analyzing quantum dynamics on the attosecond scale will be introduced. We will illust
